seed,dataset,scenario,model,window_size,alphabet_size,noise_std,accuracy,precision,recall,f1_score
42,BATADAL,gaussian_noise,Automata,4,3,0.05,0.5882352941176471,0.024691358024691357,0.2857142857142857,0.045454545454545456
123,BATADAL,gaussian_noise,Automata,4,3,0.05,0.5833333333333334,0.024390243902439025,0.2857142857142857,0.0449438202247191
2026,BATADAL,gaussian_noise,Automata,4,3,0.05,0.5784313725490197,0.024096385542168676,0.2857142857142857,0.044444444444444446
7,BATADAL,gaussian_noise,Automata,4,3,0.05,0.5833333333333334,0.024390243902439025,0.2857142857142857,0.0449438202247191
999,BATADAL,gaussian_noise,Automata,4,3,0.05,0.5833333333333334,0.024390243902439025,0.2857142857142857,0.0449438202247191
