seed,dataset,scenario,model,window_size,alphabet_size,noise_std,accuracy,precision,recall,f1_score
42,SKAB,gaussian_noise,Automata,4,3,0.05,0.5880782918149466,0.2361111111111111,0.14613180515759314,0.18053097345132743
123,SKAB,gaussian_noise,Automata,4,3,0.05,0.5898576512455516,0.24074074074074073,0.1489971346704871,0.184070796460177
2026,SKAB,gaussian_noise,Automata,4,3,0.05,0.5960854092526691,0.2463768115942029,0.14613180515759314,0.18345323741007194
7,SKAB,gaussian_noise,Automata,4,3,0.05,0.5934163701067615,0.23529411764705882,0.13753581661891118,0.1735985533453888
999,SKAB,gaussian_noise,Automata,4,3,0.05,0.5925266903914591,0.23671497584541062,0.14040114613180515,0.17625899280575538
