dataset,model,window_size,alphabet_size,threshold,state_count,transition_density,val_accuracy,val_precision,val_recall,val_f1_score,accuracy,precision,recall,f1_score,roc_auc,average_precision,timestamp
BATADAL,Automata,4,3,0.1,68,0.028114186851211073,0.7093596059113301,0.0,0.0,0.0,0.5784313725490197,0.024096385542168676,0.2857142857142857,0.044444444444444446,0.3701957940536621,0.028603906039202917,2026-05-30 22:33:53
BATADAL,Automata,4,3,0.1,68,0.028114186851211073,0.7044334975369458,0.0,0.0,0.0,0.5686274509803921,0.023529411764705882,0.2857142857142857,0.043478260869565216,0.3614938361131255,0.027984481335394152,2026-05-30 22:36:14
