dataset,model,window_size,alphabet_size,threshold,state_count,transition_density,accuracy,precision,recall,f1_score,roc_auc,average_precision,timestamp
SKAB,Automata,4,3,0.1,81,0.03185490016765737,0.5871886120996441,0.22748815165876776,0.13753581661891118,0.17142857142857143,0.4035604029947316,0.26505468942266797,2026-05-30 22:33:48
SKAB,Automata,4,3,0.1,81,0.03185490016765737,0.5871886120996441,0.22748815165876776,0.13753581661891118,0.17142857142857143,0.4035604029947316,0.26505468942266797,2026-05-30 22:36:09
