seed,dataset,scenario,window_size,alphabet_size,unseen_ratio_target,unseen_count,accuracy,precision,recall,f1_score
42,BATADAL,controlled_unseen,4,3,0.1,10,0.5196078431372549,0.010752688172043012,0.14285714285714285,0.02
123,BATADAL,controlled_unseen,4,3,0.1,11,0.47058823529411764,0.01904761904761905,0.2857142857142857,0.03571428571428571
2026,BATADAL,controlled_unseen,4,3,0.1,12,0.4264705882352941,0.017543859649122806,0.2857142857142857,0.03305785123966942
7,BATADAL,controlled_unseen,4,3,0.1,4,0.49019607843137253,0.02912621359223301,0.42857142857142855,0.05454545454545454
999,BATADAL,controlled_unseen,4,3,0.1,11,0.4411764705882353,0.018018018018018018,0.2857142857142857,0.03389830508474576
