fold,window_size,alphabet_size,threshold,state_count,transition_density,accuracy,precision,recall,f1_score
1,4,3,0.1,81,0.03185490016765737,0.5871886120996441,0.22748815165876776,0.13753581661891118,0.17142857142857143
2,4,3,0.1,80,0.0334375,0.6016333938294011,0.42366412213740456,0.2781954887218045,0.3358547655068079
3,4,3,0.1,80,0.033125,0.5748663101604278,0.323943661971831,0.17164179104477612,0.22439024390243903
4,4,3,0.1,81,0.033226642280140224,0.6645907473309609,0.58,0.2169576059850374,0.3157894736842105
5,4,3,0.1,79,0.0334882230411793,0.5227882037533512,0.2527881040892193,0.16957605985037408,0.20298507462686566
