dataset,scenario,window_size,alphabet_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
SKAB,original,4,3,0.5871886120996441,0.0,0.2274881516587677,0.0,0.1375358166189111,0.0,0.1714285714285714,0.0
BATADAL,original,4,3,0.5686274509803921,0.0,0.0235294117647058,0.0,0.2857142857142857,0.0,0.0434782608695652,0.0
SKAB,gaussian_noise,4,3,0.5919928825622776,0.0031202273873221,0.2390475513877048,0.0046026296930048,0.1438395415472779,0.0047082168266919,0.1795825106945441,0.0045519318078947
BATADAL,gaussian_noise,4,3,0.5833333333333334,0.0034662097116987,0.0243916950548354,0.0002103639235373,0.2857142857142857,0.0,0.0449460901146294,0.0003571381624473
SKAB,controlled_unseen,4,3,0.5213523131672597,0.0212314938857326,0.2683832505247044,0.0275517317806476,0.3134670487106017,0.0314273228268109,0.289155587116211,0.0292142278190374
BATADAL,controlled_unseen,4,3,0.4696078431372549,0.0373965316132562,0.0188976796958071,0.0065877330658565,0.2857142857142857,0.101015254455221,0.035443179316831,0.0123646535680268
