dataset,evaluation,best_window_size,best_alphabet_size,best_state_count,best_transition_density,best_accuracy,best_accuracy_std,best_precision,best_precision_std,best_recall,best_recall_std,best_f1_score,best_f1_score_std
SKAB,GroupKFold,5.0,6.0,1420.0,0.0011196325983831,0.4845952714056786,0.0997546903961357,0.3867545643502166,0.0721765895926705,0.691270567033686,0.0683801638155761,0.4940161003144524,0.06897695953731
BATADAL,single_fold,4.0,6.0,239.0,0.0061098370126573,0.2598039215686274,0.0,0.0384615384615384,0.0,0.8571428571428571,0.0,0.0736196319018405,0.0
