window_size,alphabet_size,state_count_mean,transition_density_mean,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
3,3,27.0,0.11111111111111112,0.6561933955473764,0.04264672816868249,0.29197396979165535,0.045651126445790204,0.20811501134726895,0.03154613391153898,0.23999707145384228,0.02557871454308861
3,4,64.0,0.056689453125,0.5883017793499452,0.06530919055649162,0.28963625385462266,0.05790703206101026,0.37764778656988873,0.045488120049859866,0.32602271388404425,0.04899213527397428
3,5,121.4,0.03247498838689198,0.5043195982657712,0.07550547180800919,0.2842470231550826,0.04636630614471913,0.5674109964427495,0.03839946551162606,0.376452422189791,0.03959290892009804
3,6,198.4,0.020189306527257082,0.4481394428944611,0.07159937716470026,0.2866204050959036,0.03967860996571412,0.7308030038827994,0.0698251739222022,0.41005734218646583,0.04290697467671636
4,3,80.2,0.03302645309779538,0.5902134534347571,0.051120557636641695,0.3615768079714445,0.14387019228998382,0.19478135244418066,0.05453783503327939,0.25008962582977884,0.0720051867001618
4,4,215.2,0.012240682553555765,0.5603708107451062,0.08003927331235146,0.38372270010892595,0.12965130815879833,0.3602207193369863,0.050751128353562346,0.3680382454906324,0.08132228443567349
4,5,415.6,0.006139316421709151,0.51537576572588,0.10793509576119645,0.37652044575485255,0.11810466408632055,0.5220821169348834,0.07826200297751888,0.43399132757093123,0.09933152441872704
4,6,682.4,0.0035372003149993295,0.486080765934643,0.1034756705093427,0.3749005716131162,0.09028372975627957,0.6599595571393546,0.08720491807080226,0.4759885034875264,0.09109224583039408
5,3,201.2,0.010642710850283902,0.5738768187381453,0.06241182057656937,0.37890250394050584,0.16914452740443145,0.22313476034227325,0.05698226188483158,0.27440451640844205,0.07147749558355129
5,4,505.6,0.003936186449397471,0.5390638716526073,0.07858292544062848,0.3853682889056944,0.10650764872831685,0.40670625697483515,0.06747752663418623,0.3902598132507113,0.06476471476817075
5,5,947.8,0.0018886516264012888,0.5001718370794179,0.09297705704875268,0.37278745668122293,0.08820712503451414,0.536555030700692,0.0930576008136187,0.4376675600699862,0.08314641796737028
5,6,1420.0,0.001119632598383127,0.4845952714056786,0.09975469039613576,0.3867545643502166,0.07217658959267059,0.691270567033686,0.0683801638155761,0.4940161003144524,0.06897695953731009
6,3,397.0,0.0045174460702352886,0.6055879302548842,0.06800537531733619,0.22110315394055413,0.09074125797863608,0.25963883580141245,0.07442439028129505,0.2350891641518949,0.07464791453114236
6,4,913.2,0.0017237195902302632,0.5271741806689682,0.08952306111808934,0.24610340597830063,0.08335314902728944,0.5008066690898005,0.1548637138674968,0.32853296582857194,0.10435319854974026
6,5,1509.2,0.0009006646075646687,0.4530217098060921,0.07745163226294498,0.2606892380978819,0.043641368117673336,0.7407805471201836,0.10674591828838231,0.3844172282194374,0.05601647675690018
6,6,1998.4,0.0006056403041154742,0.3812651644448499,0.08827443028650128,0.2540804830467459,0.040583332291663235,0.8609391597978637,0.09189081605635165,0.3915675333552067,0.05438116781579415
